device_description,vendor_id,product_id,manufacturer,location_id,usb_speed,power_mA,cpu_avg_percent,process_count,avg_process_runtime_sec,ftk_available,alt_usb_descriptor,source_type,cylinders,tracks_per_cylinder,sectors_per_track,bytes_per_sector,sector_count,drive_model,drive_interface,removable_drive,source_data_size_MB,keystroke_mean_ms,keystroke_std_ms,label
USB Mass Storage Device,2e8a,000a,Arduino,USB\ROOT_HUB#3897,12 Mbps,302,14.838413348378435,39,1892.8835418494427,1,Raspberry Pi Pico VID=2e8a PID=000a,Physical,1859.8779904789267,1.000581537814223,0.9774648844165077,505.5055948677344,2025.04195560785,Generic Flash Disk,USB,TRUE,1.4520551551214333,32.25699823466823,39.73090250159704,1
USB Mass Storage Device,1058,6387,HP,USB\ROOT_HUB#6388,5 Gbps,235,18.68096095076649,65,11611.363060244508,1,Generic Flash Disk VID=058f PID=6387,Physical,1922.8311311570546,1.0030669749023542,0.9754940485287391,508.4023347339727,2052.913218731075,SD Card Reader,USB,TRUE,1.2244078629373765,-1.1919133752545483,-0.6314363387734394,0
USB Input Device,16c0,c31c,HP,USB\ROOT_HUB#7103,12 Mbps,162,4.641623606906515,57,-89.09181260538321,0,ATtiny85 BadUSB VID=16c0 PID=27db,Unknown,32.55935122924364,-1.0306353678325904,-0.9702432392014292,-7.799536256905982,-60.61224747779488,Unknown,Unknown,Unknown,-1.010005835487324,33.74248986065522,19.6354192851757,1
USB Mass Storage Device,058f,000a,Logitech,USB\ROOT_HUB#4223,12 Mbps,88,19.058356405600584,44,-105.8278101367664,1,Generic Flash Disk VID=058f PID=6387,Physical,1783.2058769897644,0.9738478517208784,1.0049936747143637,502.55528155222436,1409.7146394034269,Raspberry Pi Pico,USB,True,0.9014911880091472,32.02301777435976,44.99713784046877,1
USB Input Device,046d,c077,Raspberry Pi,USB\ROOT_HUB#3013,480 Mbps,178,17.318755305083066,52,5427.013769731257,0,Mouse USB Optical VID=046d PID=c077,Unknown,33.39606234686223,-1.0568967416912287,-0.995541416618859,-13.41189728213502,-56.2873006673968,Unknown,Unknown,Unknown,-1.0417432693066864,-0.9014071262979768,-0.0865906307060218,0
USB Mass Storage Device,0bda,129,Generic,USB\ROOT_HUB#8754,5 Gbps,398,18.874422066170435,49,5068.547383065944,1,SD Card Reader VID=0bda PID=0129,Physical,2790.578786074765,0.9937995422483027,0.9802543227269852,505.22946073590066,981.387962875282,WD External HDD,USB,TRUE,0.8209314096726424,1.158054819180831,-0.23946075061596506,0
USB Mass Storage Device,0bda,129,Raspberry Pi,USB\ROOT_HUB#5159,480 Mbps,182,12.95827851672345,91,11895.693533571768,1,SD Card Reader VID=0bda PID=0129,Physical,1256.9626551861793,0.996705654333323,0.996540884572496,504.87071345950227,1390.4699025487628,SD Card Reader,USB,TRUE,0.8319225661467609,1.81279900942158,0.03403598186651369,0
USB Mass Storage Device,058f,c077,WD,USB\ROOT_HUB#1824,5 Gbps,124,4.48003706596663,49,10755.428791918752,1,Mouse USB Optical VID=046d PID=c077,Physical,838.9934338665903,-1.0472910929922712,1.0311777893281013,501.4054769517686,935.1768293687178,Generic Flash Disk,Unknown,Unknown,-0.9878707486897857,1.2997780499823097,-0.44070346958015116,0
USB Input Device,046d,c077,SanDisk,USB\ROOT_HUB#3943,12 Mbps,415,9.422635355228701,68,3015.658722475896,0,Mouse USB Optical VID=046d PID=c077,Unknown,65.63970584807333,-1.018151422592079,-0.9977478452348083,-19.477163491733037,-66.73438837689038,Unknown,Unknown,Unknown,-1.03114648584135,0.5817280022929302,50.25005013568701,0
USB Mass Storage Device,0bda,25a2,Raspberry Pi,USB\ROOT_HUB#3622,5 Gbps,314,18.797487775451305,91,11441.034427713492,1,SD Card Reader VID=0bda PID=0129,Physical,632.6317839883037,0.9944875577507147,0.9826918517375376,491.4758986250375,712.141134305846,WD External HDD,USB,TRUE,0.16684190188360065,0.47781407210633364,-0.35115389335221814,0
